7000	3000
7000	4000
7500	3500
8000	3000
7000	2000
8000	2000
7500	1500
6500	1500
6000	2000
5500	2500
5000	3000
4500	2500
4000	2000
3500	1500
3000	2000
2500	1500
2000	2000
1500	2500
1000	3000
500	2500
0	2000
500	1500
1000	1000
500	500
0	1000
1000	2000
6500	3500
6000	4000
6000	3000
7500	2500
6000	1000
7000	1000
6500	2500
5500	3500
4000	3000
5000	2000
4500	3500
3500	2500
2000	1000
3000	1000
2500	2500
2000	3000
1500	3500
0	3000
500	3500
1000	4000
0	4000
8000	1000
8000	0
7000	0
6000	0
5000	0
4000	0
3000	0
2000	0
1000	0
0	0
1500	500
1500	1500
6500	500
5500	1500
5000	1000
4000	1000
3500	500
4500	500
5500	500
3500	3500
3000	3000
4500	1500
2500	500
5000	4000
8000	4000
4000	4000
3000	4000
2500	3500
2000	4000
7500	500
